,state,babyboomer_percentage,house_price_€/m²,salary,pop_diff,year,unemployment_rate,age_avg,total_population,country,new_building,area_new_b,rooms_new_b,cinema,cinema_seat,museum,apartment,restaurant,new_building_per_resident,area_new_b_per_resident,rooms_new_b_per_resident,cinema_per_resident,cinema_seat_per_resident,museum_per_resident,apartment_per_resident,restaurant_per_resident,scaled_age_avg,scaled_new_building,scaled_rooms_new_b,scaled_area_new_b,scaled_cinema,scaled_cinema_seat,scaled_museum,scaled_apartment,scaled_restaurant,score,scaled_unemployment_rate,scaled_employment_rate,number_of_buildings,living_space_1000qm,number_of_buildings_per_resident,living_space_1000qm_per_resident,scaled_number_of_buildings,scaled_living_space_1000qm,scaled_pop_diff,scaled_house_price_€/m²,scaled_salary,scaled_babyboomer_percentage,demographics,entertainment,dwelling/living_space
0,Baden-Württemberg,0.2311727514700249,3952,46.62,0.007291424522088224,2020,4.1,43.24064952283802,11103043,Germany,0.7055151240077854,1402,186843,252.0,100970.0,841,5373419,16236,0.0023957396184091156,0.00012627168966201428,0.016828089380541894,2.2696480595454777e-05,0.009093903356043924,7.57450007173709e-05,0.48395912724106355,0.0014623018212214435,0.2752847327021506,0.6457659195030878,0.6185599488164543,0.8522195037038142,0.22081373533858,0.14208117776524842,0.7842822430435943,0.0,0.5567732257459207,5.780872823081734,0.06578947368421047,0.9342105263157895,2456160.0,499173.0,0.2212150308703659,0.04495821550902757,0.5043360413314391,0.24654576881565576,0.22455839723982085,0.5469984202211691,1.0,0.3918423164112793,0.29722848211775027,0.49437888218492115,0.12327288440782788
1,Bayern,0.2340755832700351,4941,45.124,0.001660326952828587,2020,3.6,43.48823650325114,13140183,Germany,0.9755541186393191,1948,283342,284.0,125431.0,590,6549811,21531,0.003076593377733019,0.00014824755484759992,0.021563017805764195,2.161309321186775e-05,0.00954560526287952,4.490044012324638e-05,0.4984566044475941,0.0016385616547349455,0.31705168153816515,0.9266623559179572,1.0,1.0,0.188775170775808,0.18909653984414462,0.3375636284051417,0.13204690849358292,0.7107539810265147,6.699325993407417,0.0,1.0,3112961.0,618336.5,0.23690393048559522,0.04705691693943684,0.5647115000914941,0.33266422731460843,0.2521121585406879,0.35169826224328593,0.8843000773395209,0.42219119351712453,0.33045167786532587,0.4124713830919336,0.23235556790409567
2,Berlin,0.2054410265255637,5007,40.729,0.0455534910733585,2020,9.7,42.149703828074,3664088,Germany,0.2414362339978354,156,53307,95.0,48373.0,147,1982825,7217,0.0008304931540945523,4.257539666077889e-05,0.014548504293565002,2.592732488957689e-05,0.013201920914563188,4.011912377650319e-05,0.5411510313071084,0.0019696579339797517,0.09124648909156363,0.0,0.434919358259293,0.2893893437342131,0.3163581500859387,0.5696639043764566,0.26831631304633036,0.5209191927117435,1.0,3.6881811723581706,0.8026315789473684,0.19736842105263164,330356.0,142715.9,0.09016049832864276,0.03894991059166701,0.0,0.0,0.03733666370303146,0.3386650868878357,0.5443928847641146,0.12281916527378803,0.08380077268946103,0.6126600724742624,0.26045959635587174
3,Brandenburg,0.2794595647455168,2781,35.077,-0.054945515159393,2020,6.2,46.72218005737492,2531071,Germany,0.7734560949410247,131,53611,64.0,24371.0,225,1348702,2378,0.0032543535918194313,5.17567464523911e-05,0.021181152168390376,2.528573872483229e-05,0.009628730288482622,8.889517520448854e-05,0.5328582248384182,0.0009395232294945499,0.8626052269558974,1.0,0.9692373706244001,0.3511309141986743,0.2973847892427536,0.19774860244871925,0.9747348744309939,0.4453860884808322,0.10007335945184492,6.781586593053384,0.34210526315789475,0.6578947368421053,683019.0,113011.1,0.26985374965775355,0.04464951793134211,0.6915120085636643,0.23387862181349797,0.52909259487857,0.7782385466034756,0.10726991492652749,0.8966771338904187,0.7627916519082953,0.42418561211051936,0.3396323551471651
4,Bremen,0.2235587314189934,3116,41.966,-0.03400820431388117,2020,11.2,43.143782806228224,680130,Germany,0.1594802349728145,35,6223,12.0,11791.0,27,363969,1062,0.001143898960492847,5.1460750150706484e-05,0.009149721376795613,1.764368576595651e-05,0.017336391572199433,3.969829297340214e-05,0.5351462220457853,0.001561466190287151,0.2589436989781507,0.12930026891006496,0.0,0.3491404360083785,0.0713895350757597,1.0,0.2622214635903035,0.4662257803507177,0.6434033112355425,3.753479342763878,1.0,0.0,140872.0,28525.4,0.2071251084351521,0.04194109949568465,0.4501139128340486,0.12274093578091144,0.42664335505921136,0.7120853080568721,0.6400618716163963,0.3122383383890658,0.3326084641421426,0.635208258275282,0.2944833580658146
5,Hamburg,0.1936935283441962,6722,45.571,0.05318389746059062,2020,7.6,41.6088110088217,1852478,Germany,0.4249518733074251,139,31096,33.0,20595.0,40,976709,3625,0.0011989346162275612,7.503462929114408e-05,0.016786164262139684,1.7813976738185284e-05,0.011117540937058362,2.1592699076588222e-05,0.5272445880598852,0.0019568383538158076,0.0,0.15200605463854228,0.6151825124809801,0.5076670528027531,0.0764254791811311,0.35271135697873524,0.0,0.3942555799481306,0.988800802788271,3.7630553893055545,0.5263157894736842,0.4736842105263158,256273.0,72917.3,0.13834064426136236,0.039362032909432666,0.1854112452214722,0.016911094739222917,0.0,0.0,0.9188708430007735,0.0,0.0,0.44717071992233537,0.20558333734367676
6,Hessen,0.2346087510332656,3779,46.329,-0.010829863689971674,2020,5.4,43.51817880191713,6293154,Germany,0.5012594355458192,494,97673,128.0,56589.0,304,3081216,9845,0.0019444939691607738,7.849799957223357e-05,0.015520516421495486,2.033956264219817e-05,0.00899215242468244,4.830646127522066e-05,0.4896139519229944,0.0015643983922846954,0.3221028294391109,0.4595977547749664,0.5132234681701886,0.5309570836923027,0.151113580843009,0.13149043903372867,0.3868926841975282,0.05150565899740242,0.6459648856408797,4.749674418870412,0.23684210526315794,0.763157894736842,1405221.0,288264.1,0.22329359809087782,0.04580598218317873,0.5123349738620673,0.2813331654823862,0.3132284377990653,0.5811611374407584,0.9774941995359632,0.4277654203541818,0.354365562530786,0.3881160029573789,0.16641941223989432
7,Mecklenburg-Vorpommern,0.289342266512869,2666,33.69,-0.09236180867086258,2020,7.8,46.84607834494473,1610774,Germany,0.44209104760915335,68,24681,79.0,19778.0,146,921785,2634,0.002144310747503995,4.2215729829262205e-05,0.015322447469353243,4.904474494870168e-05,0.012278569184752175,9.063965522165121e-05,0.5722621547156833,0.0016352387113275977,0.8835063802764934,0.5420351654580567,0.49726727528656306,0.28697070208284026,1.0,0.47355690273158596,1.0,0.8042876441561165,0.707851054560407,7.487184164055284,0.5526315789473684,0.44736842105263164,401211.0,71876.9,0.24907963500776645,0.04462258516713083,0.6115671600983555,0.23277345835223387,0.7121758406397974,0.8009478672985781,0.0,1.0,0.865227406972097,0.7271359857639976,0.5185305512541752
8,Niedersachsen,0.2454962696576876,2781,40.292,-0.0376615199925132,2020,5.8,44.27034801742904,8003421,Germany,0.7400317893783441,714,155134,177.0,69454.0,492,4057466,9232,0.002751823251582042,8.921185078230921e-05,0.019383461147426832,2.211554284099262e-05,0.008678039053549726,6.14737123037761e-05,0.5069664584681975,0.0011535067316838638,0.4489908147761894,0.792673566342342,0.8244175774896514,0.6030042243030388,0.2036339047117334,0.09879597028311889,0.5775926333870615,0.20955694000763067,0.28700954694219105,6.756201494032431,0.28947368421052627,0.7105263157894737,2801326.0,506775.4,0.35001607437619486,0.06331984785006312,1.0,1.0,0.4445195482751242,0.7782385466034756,0.5105955143078116,0.5415935673102064,0.47836797678717335,0.3211327168707905,0.6047784700038153
9,Nordrhein-Westfalen,0.2391665090705623,2893,43.829,-0.041034678395164004,2020,7.5,43.75948608607704,17925570,Germany,0.3191538118842027,821,228644,273.0,171030.0,557,9108208,21116,0.0016932237022309472,4.580049616274406e-05,0.012755187143281915,1.5229641233165808e-05,0.009541119194536074,3.107293101418811e-05,0.5081126011613578,0.0011779820669579823,0.36281041824062016,0.3559324351802137,0.2904519188047682,0.31107708166762604,0.0,0.18862960772744095,0.13730122900251476,0.2199963148842573,0.30839122271102604,3.419061760939848,0.5131578947368421,0.48684210526315785,3957773.0,809565.1,0.22078924129051405,0.04516258618275458,0.5026974789179316,0.2549319485402915,0.46102489209371367,0.7561216429699842,0.7841453982985308,0.47541642050913724,0.433083910281157,0.21144068648032724,0.2374641317122744
